22,261
27,253
42,264
55,255
58,275
47,233
57,239
89,254
117,259
111,239
133,271
161,266
177,248
182,259
202,255
218,255
221,283
261,258
261,245
265,249
276,230
268,227
268,240
246,235
266,212
264,204
270,193
244,207
238,221
229,232
209,239
191,220
186,208
168,223
158,231
137,230
139,238
128,247
91,243
80,232
81,242
50,216
78,205
99,212
89,228
121,210
128,195
113,186
148,178
158,167
177,169
164,194
152,218
171,207
132,162
151,170
196,188
214,203
230,192
272,179
257,212
235,258
178,277
206,167
256,177
268,159
247,149
227,156
191,156
196,121
201,137
217,123
218,144
252,129
259,140
275,133
271,119
281,99
265,92
270,75
279,87
243,75
215,91
205,90
184,90
125,108
116,95
110,92
119,76
139,69
136,94
153,81
130,127
113,141
115,155
98,156
80,128
49,133
58,121
67,142
89,133
87,117
108,127
82,165
50,190
33,182
21,171
24,197
75,178
81,193
108,169
51,150
17,134
15,155
34,106
21,99
55,89
57,111
66,100
83,110
86,99
114,105
162,79
154,57
176,56
192,71
208,68
239,60
228,55
229,104
242,116
244,87
260,59
275,48
263,42
243,39
238,28
263,30
272,39
277,30
214,33
193,36
181,32
208,22
176,39
172,21
126,30
138,36
114,40
145,50
160,26
94,28
100,46
58,22
55,34
66,41
54,56
80,46
26,42
35,18
35,56
29,76
43,43
51,76
33,117
44,94
133,83
168,108
166,142
142,144
241,95
178,238
75,58
90,58
76,77
92,67
106,60
115,50
23,220
